ticker,name,market_cap,sector,industry,is_profitable,net_income,net_margin,profitability_reason,current_price,pe_ratio,revenue,revenue_growth,timestamp
ABCB,Ameris Bancorp,4824398848,Financial Services,Banks - Regional,True,358685000.0,32.495381875207805,"Net Income: $358,685,000",70.34,12.4056425,1116353024.0,0.057,2025-10-17T09:29:52.600252
AUB,Atlantic Union Bankshares Corporation,4804046848,Financial Services,Banks - Regional,True,209131000.0,25.584371257265264,"Net Income: $209,131,000",33.71,17.287178,908470016.0,0.593,2025-10-17T09:30:02.724145
ABG,"Asbury Automotive Group, Inc.",4801422848,Consumer Cyclical,Auto & Truck Dealerships,True,430300000.0,2.5034034185448495,"Net Income: $430,300,000",244.215,8.942328,17262800896.0,0.03,2025-10-17T09:29:52.874829
BCPC,Balchem Corporation,4776430592,Basic Materials,Specialty Chemicals,True,128475000.0,13.471443371179554,"Net Income: $128,475,000",147.17,33.832184,985929984.0,0.091,2025-10-17T09:30:05.448587
BCO,The Brink's Company,4629096960,Industrials,Security & Protection Services,True,162900000.0,3.2502643707975016,"Net Income: $162,900,000",111.11,29.948788,5069899776.0,0.038,2025-10-17T09:30:05.360161
ACA,"Arcosa, Inc.",4562647552,Industrials,Engineering & Construction,True,93700000.0,3.6460562667808087,"Net Income: $93,700,000",93.03,49.74866,2675500032.0,0.109,2025-10-17T09:29:53.307687
BDC,Belden Inc.,4448118784,Technology,Communication Equipment,True,198433000.0,8.063173233091383,"Net Income: $198,433,000",112.27,20.412727,2617820928.0,0.112,2025-10-17T09:30:05.444258
ABTC,American Bitcoin Corp,4438453248,Financial Services,Capital Markets,True,428935000.0,599.598809007926,"Net Income: $428,935,000",4.885,44.409092,69890000.0,1.177,2025-10-17T09:29:52.941862
BGC,"BGC Group, Inc.",4345121280,Financial Services,Capital Markets,True,126988000.0,5.754930107246685,"Net Income: $126,988,000",9.2,30.666664,2473843968.0,0.418,2025-10-17T09:30:06.257828
AB,AllianceBernstein Holding L.P.,4339694080,Financial Services,Asset Management,True,423374000.0,91.64951109321592,"Net Income: $423,374,000",39.26,11.684524,78830000.0,,2025-10-17T09:29:52.487726
AX,"Axos Financial, Inc.",4321894400,Financial Services,Banks - Regional,True,432908000.0,34.86208832049014,"Net Income: $432,908,000",76.365,10.277927,1203092992.0,0.076,2025-10-17T09:30:03.537915
AVT,"Avnet, Inc.",4224907776,Technology,Electronics & Computer Distribution,True,240217000.0,1.0820218088088358,"Net Income: $240,217,000",51.95,18.89091,22200754176.0,0.01,2025-10-17T09:30:03.295951
AROC,"Archrock, Inc.",4209165312,Energy,Oil & Gas Equipment & Services,True,172231000.0,14.87839832894347,"Net Income: $172,231,000",23.94,18.0,1348892032.0,0.416,2025-10-17T09:30:00.707026
BC,Brunswick Corporation,4126620160,Consumer Cyclical,Recreational Vehicles,True,130100000.0,2.4841992705886846,"Net Income: $130,100,000",63.165,71.77841,5096999936.0,0.002,2025-10-17T09:30:05.141286
ASB,Associated Banc-Corp,4063276800,Financial Services,Banks - Regional,True,123145000.0,11.96314250463876,"Net Income: $123,145,000",24.5,35.0,1035964032.0,0.168,2025-10-17T09:30:01.098883
AGX,"Argan, Inc.",3962264576,Industrials,Engineering & Construction,True,85459000.0,9.775915458962066,"Net Income: $85,459,000",286.88,34.439377,920884992.0,0.047,2025-10-17T09:29:55.614612
ALE,"ALLETE, Inc.",3905780224,Utilities,Utilities - Diversified,True,179300000.0,11.72048633808341,"Net Income: $179,300,000",67.3,21.230284,1532499968.0,0.016,2025-10-17T09:29:56.695915
BANF,BancFirst Corporation,3807920384,Financial Services,Banks - Regional,True,216354000.0,34.26309963274944,"Net Income: $216,354,000",114.32,16.472622,656147968.0,0.116,2025-10-17T09:30:04.518565
AGO,Assured Guaranty Ltd.,3775570176,Financial Services,Insurance - Specialty,True,376000000.0,46.19164619164619,"Net Income: $376,000,000",79.33,8.717583,891000000.0,0.037,2025-10-17T09:29:55.532694
ATMU,Atmus Filtration Technologies Inc.,3599489024,Consumer Cyclical,Auto Parts,True,185600000.0,11.116435074269287,"Net Income: $185,600,000",43.815,19.387167,1680400000.0,0.048,2025-10-17T09:30:02.139450
ACAD,ACADIA Pharmaceuticals Inc.,3501622016,Healthcare,Biotechnology,True,226451000.0,23.64290136636469,"Net Income: $226,451,000",20.755,15.605262,1018884992.0,0.093,2025-10-17T09:29:52.980166
ADMA,"ADMA Biologics, Inc.",3449406976,Healthcare,Biotechnology,True,197673000.0,46.35271330553823,"Net Income: $197,673,000",14.455,17.005882,474174016.0,0.138,2025-10-17T09:29:54.368071
ASO,"Academy Sports and Outdoors, Inc.",3396231168,Consumer Cyclical,Specialty Retail,True,418447000.0,7.052338858505591,"Net Income: $418,447,000",50.975,9.581766,5971496960.0,0.033,2025-10-17T09:30:01.251160
AHL,Aspen Insurance Holdings Limite,3367712768,Financial Services,Insurance - Property & Casualty,True,486100000.0,15.203452913395676,"Net Income: $486,100,000",36.67,6.051155,3179300096.0,-0.021,2025-10-17T09:29:55.823421
AIR,AAR Corp.,3277950464,Industrials,Aerospace & Defense,True,12500000.0,0.44955943175687824,"Net Income: $12,500,000",82.855,103.568756,2858400000.0,0.118,2025-10-17T09:29:56.105336
ANF,Abercrombie & Fitch Co.,3218398720,Consumer Cyclical,Apparel Retail,True,566223000.0,11.442114688495929,"Net Income: $566,223,000",68.375,6.4995246,5099753984.0,0.066,2025-10-17T09:29:58.697611
ARLP,"Alliance Resource Partners, L.P.",3121443072,Energy,Thermal Coal,True,360855000.0,14.73654678303824,"Net Income: $360,855,000",24.305,13.354395,2291591936.0,-0.077,2025-10-17T09:30:00.630433
AVA,Avista Corporation,3106947328,Utilities,Utilities - Diversified,True,180000000.0,9.287925696594428,"Net Income: $180,000,000",38.305,17.100447,1955000064.0,0.022,2025-10-17T09:30:03.020181
AGYS,"Agilysys, Inc.",3088913920,Technology,Software - Application,True,23225000.0,8.426334426610165,"Net Income: $23,225,000",110.15,224.79591,288787008.0,0.207,2025-10-17T09:29:55.590869
APAM,Artisan Partners Asset Management Inc.,3032112640,Financial Services,Asset Management,True,259748000.0,23.362793015303083,"Net Income: $259,748,000",43.0265,11.382672,1136529024.0,0.044,2025-10-17T09:29:59.283983
BBU,Brookfield Business Partners L.P.,3024610816,Industrials,Conglomerates,True,15000000.0,0.03692762186115214,"Net Income: $15,000,000",34.05,,30102999040.0,-0.44,2025-10-17T09:30:04.913873
AZZ,AZZ Inc.,2957015552,Industrials,Specialty Business Services,True,128833000.0,8.16564664482958,"Net Income: $128,833,000",98.38,9.414354,1594765952.0,0.02,2025-10-17T09:30:03.990724
